Nombre,Direccion,Latitud,Longitud
santorcaz,"Santorcaz, Comunidad de Madrid, España",40.4715789,-3.2335594
santos-de-la-humosa-los,"Los Santos de la Humosa, Comunidad de Madrid, 28817, España",40.5012957,-3.2566803
serna-del-monte-la,"La Serna del Monte, Comunidad de Madrid, 28737, España",41.0305793,-3.6252636
serranillos-del-valle,"Serranillos del Valle, Comunidad de Madrid, 28979, España",40.2044509,-3.8851988
sevilla-la-nueva,"Sevilla la Nueva, Comunidad de Madrid, 28609, España",40.3475422,-4.0275268
somosierra,"Somosierra, Comunidad de Madrid, 28756, España",41.133207,-3.581478
soto-del-real,"Soto del Real, Comunidad de Madrid, 28791, España",40.7534432,-3.7866573
talamanca-de-jarama,"Talamanca de Jarama, Comunidad de Madrid, 28160, España",40.7454625,-3.5127366
tielmes,"Tielmes, Comunidad de Madrid, 28550, España",40.2465011,-3.3136206
titulcia,"Titulcia, Comunidad de Madrid, 28359, España",40.1379148,-3.5709978
torrejon-de-ardoz,"Torrejón de Ardoz, Comunidad de Madrid, España",40.4587767,-3.4793343
torrejon-de-la-calzada,"Torrejón de la Calzada, Comunidad de Madrid, 28991, España",40.2006804,-3.7993298
torrejon-de-velasco,"Torrejón de Velasco, Comunidad de Madrid, 28990, España",40.1869283,-3.7769069
torrelaguna,"Torrelaguna, Comunidad de Madrid, 28180, España",40.8277273,-3.538293
torrelodones,"Torrelodones, Comunidad de Madrid, España",40.5762809,-3.928603
torremocha-de-jarama,"Torremocha de Jarama, Comunidad de Madrid, España",40.8358114,-3.4966866
torres-de-la-alameda,"Torres de la Alameda, Comunidad de Madrid, 28813, España",40.4021516,-3.360625
tres-cantos,"Tres Cantos, Comunidad de Madrid, 28760, España",40.6065826,-3.7065333
valdaracete,"Valdaracete, Comunidad de Madrid, 28594, España",40.2107697,-3.1954758
valdeavero,"Valdeavero, Comunidad de Madrid, España",40.6309749,-3.3329368
valdelaguna,"Valdelaguna, Comunidad de Madrid, 28391, España",40.1605777,-3.367827
valdemanco,"Valdemanco, Comunidad de Madrid, España",40.8736636,-3.6636949
valdemaqueda,"Valdemaqueda, Comunidad de Madrid, España",40.5110297,-4.2977731
valdemorillo,"Valdemorillo, Comunidad de Madrid, España",40.5016772,-4.0688878
valdemoro,"Valdemoro, Comunidad de Madrid, España",40.1888604,-3.67143
valdeolmos-alalpardo,"Valdeolmos-Alalpardo, Comunidad de Madrid, 28130, España",40.6385429,-3.4532436
valdepielagos,"Valdepiélagos, Comunidad de Madrid, 28170, España",40.7610144,-3.4656251
valdetorres-de-jarama,"Valdetorres de Jarama, Comunidad de Madrid, 28150, España",40.6956481,-3.5146559
valdilecha,"Valdilecha, Comunidad de Madrid, 28511, España",40.2926854,-3.3002096
valverde-de-alcala,"Valverde de Alcalá, Comunidad de Madrid, España",40.4180359,-3.2996775
velilla-de-san-antonio,"Velilla de San Antonio, Comunidad de Madrid, 28891, España",40.367166,-3.4874435
vellon-el,"El Vellón, Comunidad de Madrid, 28722, España",40.7677965,-3.5820099
venturada,"Venturada, Comunidad de Madrid, España",40.7985257,-3.6207369
villaconejos,"Villaconejos, Comunidad de Madrid, 28360, España",40.1040079,-3.4850284
villa-del-prado,"Villa del Prado, Comunidad de Madrid, 28630, España",40.2764752,-4.3048032
villalbilla,"Villalbilla, Comunidad de Madrid, 28810, España",40.4323665,-3.2987815
villamanrique-de-tajo,"Villamanrique de Tajo, Comunidad de Madrid, 28598, España",40.0686973,-3.240078
villamanta,"Villamanta, Comunidad de Madrid, 28610, España",40.2990939,-4.1090399
villamantilla,"Villamantilla, Comunidad de Madrid, España",40.3421033,-4.1300303
villanueva-de-la-canada,"Villanueva de la Cañada, Comunidad de Madrid, España",40.4472106,-4.002795
villanueva-del-pardillo,"Villanueva del Pardillo, Comunidad de Madrid, 28229, España",40.4949232,-3.9600065
villanueva-de-perales,"Villanueva de Perales, Comunidad de Madrid, España",40.3466066,-4.1012616
villar-del-olmo,"Villar del Olmo, Comunidad de Madrid, 28512, España",40.3364465,-3.2355624
villarejo-de-salvanes,"Villarejo de Salvanés, Comunidad de Madrid, 28590, España",40.1683582,-3.2738764
villaviciosa-de-odon,"Villaviciosa de Odón, Comunidad de Madrid, 28670, España",40.3573787,-3.9002334
villavieja-del-lozoya,"Villavieja del Lozoya, Comunidad de Madrid, España",41.0063622,-3.6716291
zarzalejo,"Zarzalejo, Comunidad de Madrid, España",40.5483016,-4.1815899
